77	
19258	4120
19268	4186
19143	4747
19229	4732
19429	4733
19426	4287
19441	4208
19504	4110
19437	3814
19480	3466
19497	3285
19530	2804
19568	2166
19573	2008
19552	1801
19478	1546
19385	1349
19442	1249
19329	1184
19287	1184
19181	1003
19146	899
19171	678
19304	483
19385	313
19411	119
19308	-355
19343	-511
19482	-638
19692	-668
19813	-637
20185	-218
20185	190
20435	190
20507	-175
20620	-330
20742	-747
20361	-924
20232	-635
20100	-601
19915	-747
19804	-800
19547	-815
19345	-729
19278	-671
19236	-618
19186	-521
19171	-467
19160	-370
19176	-248
19260	83
19251	243
19192	384
19088	525
19027	640
18996	766
18788	766
18788	524
18368	524
18368	1044
18788	1044
18788	805
18993	805
18996	896
19033	1035
19106	1169
19165	1268
18844	1558
18877	1595
19063	1428
19262	1431
19342	1589
19404	1785
19430	1973
19420	2264
19383	2875
19310	3689
19258	4120
